Partido;Coalizao;Ano;flagCoalizao
PV;Collor 3;1992;0
PV;Collor 4;1992;0
PV;Itamar 1;1993;0
PV;Itamar 2;1993;0
PV;Itamar 3;1994;0
PV;FHC I 1;1995;0
PV;FHC I 1;1996;0
PV;FHC I 2;1996;0
PV;FHC I 2;1997;0
PV;FHC I 2;1998;0
PV;FHC II 1;1999;0
PV;FHC II 1;2000;0
PV;FHC II 1;2001;0
PV;Lula I 1;2003;1
PV;Lula I 1;2004;1
PV;Lula I 2;2004;1
PV;Lula I 5;2005;0
PV;Lula I 3;2005;1
PV;Lula I 4;2005;0
PV;Lula I 5;2006;0
PV;Lula II 1;2007;0
PV;Lula II 2;2007;0
PV;Lula II 2;2008;0
PV;Lula II 2;2009;0
PV;Lula II 3;2009;0
PV;Lula II 3;2010;0
PV;Dilma 1;2011;0
PV;Dilma 1;2012;0
PV;Dilma 2;2012;0
PV;Dilma 2;2013;0
PV;Dilma 3;2013;0
PV;Dilma 3;2014;0
PV;Dilma II 2;2015;0
PV;Dilma II 1;2015;0
SDD;Dilma 3;2013;0
SDD;Dilma 3;2014;0
SDD;Dilma II 2;2015;0
SDD;Dilma II 1;2015;0
